Author,Title ,Cited in,ID in Kitab database,Other
"Khitabi Al, Muhamad Hamad Bin",A'alam Al Hadith (Shareh Sahih Al Bukhari),Bursi,0388AbuSulaymanKhattabi.AclamHadith,
Al-Muqaddasi,AÌsan Al-taqasim Fi ma'Rifat Al-aqalim,Bursi,0390Muqaddasi.AhsanTaqasim,
Al-Nisaburi A.-H.,Al-Mustadrak 'ala al-Sahihayn,Bursi,0405HakimNaysaburi.Mustadrak,
Al-Abi A.S.A.-H.,Nathr al-durr,Bursi,0421AbuSacdAbi.NathrDurr,
Miskawayh,Kitab Tajarib al-Umam,Meri,0421Miskawayh.Tajarib,
Tha'alibi,Thimār al-qulūb fī l-mud{dot below}āf wa-l-mansūb,Bursi,0429AbuMansurThacalibi.ThimarQulub,
Al-Isbahani A.N.,Kitab Dala'il al-nubuwwa,Bursi,0430AbuNucaymIsbahani.DalailNubuwwa,
Al-Isbahani A.N.,Hilyat al-awliya' wa tabaqât al-asfiya',Bursi,0430AbuNucaymIsbahani.HilyatAwliya,
"Al-Raba’i A.A.-H., Muhammad A.B.",Fada’il al-Sham wa-Dimashq,Bursi,0444IbnAbiHawl.FadailSham,
Hilal al-Sabi’,Rusum Dar al-Khilafa,Meri,0448HilalSabi.RusumDarKhilafa,
al-Karajuki A.F.M.B.A.B.U.,Kanz al-Fawa'id,Bursi,0449AbuFathKarajiki.KanzFawaid,
Ibn Battal A.B.K.,Sharh Sahih al-Bukhan',Bursi,0449IbnBattalQurtubi.SharhSahihBukhari,
Al-Mawardi,al-Ahkam al-Sultaniyya wal-Wilayat al-Diniyya,Meri,0450AbuHasanMawardi.AhkamSultaniyya,
Al-Najashi,Rijāl Al-Najāshī,Bursi,0450Najashi.Rijal,
Hazm I.,Jamharat ansāb al-'arab,Bursi,0456IbnHazm.JamharatAnsab,
al-Bayhaqi A.B.A.B.A.-H.,Dala'il al-nubuwwa wa-ma'rifat ahwal sahib al-shari'a,Bursi,0458Bayhaqi.DalailNubuwwa,
al-Bayhaqi A.B.A.B.A.-H.,Hayâtal-anbiya'bada wafati-him,Bursi,0458Bayhaqi.HayatAnbiya,
al-Bayhaqi A.B.A.B.A.-H.,Al-Jami li-shu'ab al-iman,Bursi,0458Bayhaqi.ShucabIman,
al-Bayhaqi A.B.A.B.A.-H.,Al-Sunan al-kubra,Bursi,0458Bayhaqi.SunanKubra,
Tusi M.I.H.,Al Amali,Bursi,0460ShaykhTusi.Amali,
al-Tusi A.J.,Ikhtiyar ma'rifat al-rijal al-ma'ruf bi rijal al-kashshi,Bursi,0460ShaykhTusi.IkhtiyarMacrifatRijal,
al-Tusi A.J.M.B.-H.,Rijalal-Tusi',Bursi,0460ShaykhTusi.Rijal,
al-Tusi A.J.M.B.-H.,Tahdhib al-ahkam fisharh al-Muqni'a li-l-shaykh al-Mufid,Bursi,0460ShaykhTusi.TahdhibAhkam,
Ibn ʿAbd al-Barr,Al-Isti'ab fi ma'rifat al-ashab,Bursi,0463IbnCabdBarr.IsticabFiMacrifatAshab,
Ibn 'Abd al-Barr A.U.Y.B.A.A.B.M.,Al-Tamhid li-ma B-l-Muwatta' min al-ma'ani wa-l-asanid,Bursi,0463IbnCabdBarr.TamhidMuwatta,
al-Khatib al-Baghdadi A.B.A.B.A.,Talkhis al-mutashabih fi-l-rasm wa-himayat ma ashkala minhu 'an bawädir al-tashif wa-al-wahm,Bursi,0463KhatibBaghdadi.TalkhisMutashabih,
al-Khatib al-Baghdadi A.B.A.B.A.,Ta'rikh Madinat al-Salam/Baghdad,"Bursi, Meri",0463KhatibBaghdadi.TarikhBaghdad,
al-Maliki A.B.A.A.B.M.,Kitab Riyad al-nufus fi tabaqât 'ulama' al-Qayrawan wa-Ifriqiyya wa-zuhhadihim wa-nussakihim wa-siyar min akhbarihim wa-fada'ilihim wa-awsafihim,Bursi,0464AbuBakrMaliki.RiyadNufus,
Al-Maqrizi A.A.A.B.A.,Fadā'il Bayt al-Maqdis wa'l-Khalīl wa-fadā'il al-Shām,Bursi,0492IbnMurajjaMaqdisi.FadailBaytMaqdis,
"Al-Turtushi M.I.Al.-W., Fierro M.",Kitāb al-ḥawādit̲ wa-l-bidaʻ ,Bursi,"0520IbnWalidTurtushi.Hawadith""",
Ibn A.,Ta'rikh Madinat Dimashq,Bursi,0571IbnCasakir.TarikhDimashq,
Ibn Shahrashub M.B.A.,Manaqib Al Abi Talib,Bursi,0588IbnShahrAshub.ManaqibAlAbiTalib,
Ibn al-Jawzi J.A.-D.A.,Akhbar al-adhkiya',Bursi,0597IbnJawzi.Adhkiya,
Ibn al-Jawzi A.-F.A.-R.B.A.,Virtues of Imam Ahmad Ben Hanbal,Bursi,0597IbnJawzi.ManaqibImamAhmad,
Ibn al-Jawzi A.-F.A.-R.B.A.,Kitab al-Mawdu'at,Bursi,0597IbnJawzi.Mawducat,
Ibn al-Jawzi,al-Muntazam,Meri,0597IbnJawzi.Muntazam,
Al-Maqdisi S.A.-D.,Muthir Al-Gharam Ila Ziyarat Al-Quds Wa Al-Sham,Bursi,0597IbnJawzi.MuthirGharam,
Ibn Jubayr A.-H.M.B.A.,Rihla,Bursi,0614IbnJubayr.Rihla,
Ibn Qudāmaŧ al-Maqdisī,Kitab al-Burhan,Bursi,0620IbnQudamaMaqdisi.Burhan,
Al-Hamawi Y.,Mu'jam al-buldan,"Bursi, Goldziher",0626YaqutHamawi.MucjamBuldan,
Ibn al-Athir,Al-Kamil fi al-Tarikh,Margolioth,0630IbnAthirCizzDin.Kamil,
"Al-Athir I., Al-Din I.",Usd Al-ghābafī Ma'rifat Al-sahāba,Bursi,0630IbnAthirCizzDin.UsdGhaba,
